,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
168,169,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),Unknown,Unknown,Unknown,Unknown,,,
169,170,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),418,109M,768,514,,,
170,171,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),408,107M,768,512,,,
171,172,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),112,29M,312,2048,,,
172,173,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),9560,2B,2048,8192,,,
173,174,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),516,135M,768,512,,,
174,175,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),516,135M,768,512,,,
175,176,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),45,11M,312,512,,,
176,177,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),408,107M,768,512,,,
177,178,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),1629,427M,1024,512,,,
178,179,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),621,162M,768,512,,,
179,180,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),158,98M,1024,512,,,
180,181,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),1629,427M,1024,512,,,
181,182,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),4883,1B,768,512,,,
182,183,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),473,124M,768,512,,,
